ID,Pop,SubPop,Time
S163,H,hybrid,0
S164,H,hybrid,0
S165,H,hybrid,0
S171,H,hybrid,0
S172,H,hybrid,0
S173,H,hybrid,0
S174,H,hybrid,0
S175,H,hybrid,0
S181,H,hybrid,0
S182,H,hybrid,0
S183,H,hybrid,0
S184,H,hybrid,0
S185,H,hybrid,0
S191,H,hybrid,0
S192,H,hybrid,0
S193,H,hybrid,0
S194,H,hybrid,0
S195,H,hybrid,0
SOL1,H,hybrid,0
SOL4,H,hybrid,0
T3_10_al,H,hybrid,0
T3_1_al,H,hybrid,0
T3_2_al,H,hybrid,0
T3_3_al,H,hybrid,0
T3_4_al,H,hybrid,0
T3_5_al,H,hybrid,0
T3_6_al,H,hybrid,0
T3_7_al,H,hybrid,0
T3_8_al,H,hybrid,0
T3_9_al,H,hybrid,0
TB1_1_al,H,hybrid,0
TB1_2_al,H,hybrid,0
TB1_3_al,H,hybrid,0
TB1_4_al,H,hybrid,0
TB1_6_al,H,hybrid,0
TB1_7_al,H,hybrid,0
TB1_8_al,H,hybrid,0
TC2_1_al,H,hybrid,0
TC2_4_al,H,hybrid,0
TC2_6_al,H,hybrid,0
TC2_9_al,H,hybrid,0
UK10A,M,mellifera,0
UK11A,M,mellifera,0
UK12A,M,mellifera,0
UK13A,M,mellifera,0
UK14A,M,mellifera,0
UK15A,M,mellifera,0
UK16A,M,mellifera,0
UK17A,M,mellifera,0
UK18A,M,mellifera,0
UK19A,M,mellifera,0
UK1A,M,mellifera,0
UK20A,M,mellifera,0
UK21A,M,mellifera,0
UK22A,M,mellifera,0
UK23A,M,mellifera,0
UK25A,M,mellifera,0
UK26A,M,mellifera,0
UK27A,M,mellifera,0
UK28A,M,mellifera,0
UK29A,M,mellifera,0
UK2A,M,mellifera,0
UK3A,M,mellifera,0
UK4A,M,mellifera,0
UK5A,M,mellifera,0
UK6A,M,mellifera,0
UK7A,M,mellifera,0
UK8A,M,mellifera,0
UK9A,M,mellifera,0
Unicolor_MAD13,A,unicolor,0
Unicolor_MAD3,A,unicolor,0
Unicolor_MAD34,A,unicolor,0
Unicolor_MAD35,A,unicolor,0
Unicolor_MAD36,A,unicolor,0
Unicolor_MAD39,A,unicolor,0
Unicolor_MAU29,A,unicolor,0
Unicolor_MAU36,A,unicolor,0
cap_sb_2_1,A,capensis,0
cap_sb_2_2,A,capensis,0
cap_sb_2_3,A,capensis,0
cap_sb_2_4,A,capensis,0
cap_sb_2_5,A,capensis,0
cap_sb_2_6,A,capensis,0
cap_sb_2_7,A,capensis,0
cap_sb_2_8,A,capensis,0
cap_sb_2_9,A,capensis,0
cap_sb_4_1,A,capensis,0
cap_sb_4_10,A,capensis,0
cap_sb_4_2,A,capensis,0
cap_sb_4_3,A,capensis,0
cap_sb_4_4,A,capensis,0
cap_sb_4_5,A,capensis,0
cap_sb_4_6,A,capensis,0
cap_sb_4_7,A,capensis,0
cap_sb_4_8,A,capensis,0
cap_sb_4_9,A,capensis,0
cap_som_1_10,A,capensis,0
cap_som_1_2,A,capensis,0
cap_som_1_3,A,capensis,0
cap_som_1_4,A,capensis,0
cap_som_1_5,A,capensis,0
cap_som_1_6,A,capensis,0
cap_som_1_7,A,capensis,0
cap_som_1_8,A,capensis,0
cap_som_1_9,A,capensis,0
scu_d_1_1,A,scutellata,0
scu_d_1_10,A,scutellata,0
scu_d_1_3,A,scutellata,0
scu_d_1_4,A,scutellata,0
scu_d_1_5,A,scutellata,0
scu_d_1_6,A,scutellata,0
scu_d_1_7,A,scutellata,0
scu_d_1_8,A,scutellata,0
scu_d_1_9,A,scutellata,0
scu_d_2_1,A,scutellata,0
scu_d_2_10,A,scutellata,0
scu_d_2_2,A,scutellata,0
scu_d_2_3,A,scutellata,0
scu_d_2_4,A,scutellata,0
scu_d_2_5,A,scutellata,0
scu_d_2_6,A,scutellata,0
scu_d_2_7,A,scutellata,0
scu_d_2_8,A,scutellata,0
scu_d_2_9,A,scutellata,0
scu_lt_5_1,A,scutellata,0
scu_lt_5_10,A,scutellata,0
scu_lt_5_2,A,scutellata,0
scu_lt_5_3,A,scutellata,0
scu_lt_5_4,A,scutellata,0
scu_lt_5_5,A,scutellata,0
scu_lt_5_6,A,scutellata,0
scu_lt_5_7,A,scutellata,0
scu_lt_5_8,A,scutellata,0
scu_lt_5_9,A,scutellata,0
NW4_7_bond,hybrid,H,0
